ticker	label	date	open	high	low	close	volume	currency
FR0000120404	ACCOR	17/09/2015	42,755	43,530	42,565	43,405	697301	EUR
FR0000120404	ACCOR	18/09/2015	43,100	43,165	42,270	42,830	1282376	EUR
FR0000120404	ACCOR	21/09/2015	42,950	43,805	42,905	43,395	952046	EUR
FR0000120404	ACCOR	22/09/2015	43,600	43,690	41,420	41,570	1439463	EUR
FR0000120404	ACCOR	23/09/2015	41,545	42,210	40,765	41,890	1131938	EUR
FR0000120404	ACCOR	24/09/2015	41,885	42,430	40,660	40,835	1595345	EUR
FR0000120404	ACCOR	25/09/2015	41,375	42,580	41,375	42,455	1023001	EUR
FR0000120404	ACCOR	28/09/2015	42,215	42,520	40,830	40,930	1794653	EUR
FR0000120404	ACCOR	29/09/2015	40,410	41,060	39,945	40,100	1253655	EUR
FR0000120404	ACCOR	30/09/2015	40,800	42,125	40,660	41,760	1208913	EUR
FR0000120404	ACCOR	01/10/2015	42,480	43,790	41,675	42,005	1829057	EUR
FR0000120404	ACCOR	02/10/2015	42,415	42,630	41,125	42,015	1065077	EUR
FR0000120404	ACCOR	05/10/2015	42,820	44,265	42,820	44,255	1240955	EUR
FR0000120404	ACCOR	06/10/2015	44,205	44,960	43,755	44,525	958249	EUR
FR0000120404	ACCOR	07/10/2015	44,615	44,840	44,010	44,210	1148029	EUR
FR0000120404	ACCOR	08/10/2015	44,195	44,725	43,800	44,725	1064438	EUR
FR0000120404	ACCOR	09/10/2015	45,010	45,120	43,900	44,200	1045279	EUR
FR0000120404	ACCOR	12/10/2015	44,250	44,250	43,290	43,830	920358	EUR
FR0000120404	ACCOR	13/10/2015	44,210	44,210	42,630	43,505	852981	EUR
FR0000120404	ACCOR	14/10/2015	43,065	43,340	42,230	42,735	1092021	EUR
FR0000120404	ACCOR	15/10/2015	43,000	43,035	41,140	41,790	1460255	EUR
FR0000120404	ACCOR	16/10/2015	42,195	42,585	41,970	42,130	819234	EUR
FR0000120404	ACCOR	19/10/2015	42,135	42,635	41,900	42,310	499194	EUR
FR0000120404	ACCOR	20/10/2015	42,400	42,815	42,100	42,500	577540	EUR
FR0000120404	ACCOR	21/10/2015	42,670	43,045	41,860	42,850	716797	EUR
FR0000120404	ACCOR	22/10/2015	42,675	44,275	42,500	44,265	928288	EUR
FR0000120404	ACCOR	23/10/2015	44,485	45,450	44,465	45,090	1374484	EUR
FR0000120404	ACCOR	26/10/2015	44,845	45,065	44,755	44,930	569083	EUR
FR0000120404	ACCOR	27/10/2015	44,790	44,985	44,475	44,600	557436	EUR
